"","X","IdCliente","Apellido","ScoringCrediticio","Pais","Genero","Edad","IdCuenta","BalanceCuenta","CantidadProductos","TarjetaCredito","Activo","SalarioEstimado","DejaBanco","SalarioNuevo"
"1",1388,15627251,"Tsui",520,"Francia","Masculino",34,5086,134007.9,1,1,1,193209.11,0,229918.8409
"2",1788,15596972,"Brownlow",534,"Francia","Masculino",38,6583,0,1,0,0,143938.27,0,171286.5413
"3",1400,15662533,"Porter",598,"España","Femenino",23,4838,0,2,1,0,153229.19,0,182342.7361
"4",3464,15670427,"Chidi",662,"España","Masculino",37,10891,155187.3,1,1,0,48930.8,0,58227.652
"5",880,15682834,"Johnstone",715,"España","Femenino",35,2379,40169.88,2,1,1,199857.47,0,237830.3893
"6",4866,15728906,"Ibekwe",634,"Francia","Masculino",77,8244,0,2,1,1,161579.85,0,192280.0215
"7",1351,15735203,"Seleznyov",654,"Alemania","Femenino",32,1349,114510.85,1,1,1,126143.23,0,150110.4437
"8",8841,15755196,"Lavine",834,"Francia","Femenino",49,1044,131394.56,1,0,0,194365.76,1,231295.2544
"9",6933,15799422,"Evans",535,"Francia","Femenino",40,1871,0,1,1,1,27689.77,0,32950.8263
"10",4875,15600027,"Meng",579,"España","Masculino",33,8589,0,2,1,1,54816.57,0,65231.7183
"11",7480,15756321,"Johnston",612,"España","Femenino",52,9423,144772.69,1,0,0,98302.57,1,116980.0583
"12",519,15589739,"North",698,"Francia","Masculino",41,7819,90605.29,1,1,1,14357,0,17084.83
"13",716,15812210,"Yashina",497,"Alemania","Femenino",32,5517,111537.23,4,1,1,9497.99,1,11302.6081
"14",2801,15671322,"Chiang",724,"Alemania","Masculino",30,2271,115315.04,1,1,0,15216.53,0,18107.6707
"15",7061,15736399,"Korovin",606,"España","Masculino",42,8368,0,2,1,0,177938.52,0,211746.8388
"16",972,15586479,"Yin",692,"Francia","Femenino",36,8362,0,1,1,0,185580.89,1,220841.2591
"17",5431,15806467,"Boyle",568,"Alemania","Masculino",40,1430,99282.63,1,0,0,134600.94,1,160175.1186
"18",4113,15634295,"Wilson",470,"Francia","Masculino",35,6971,96473.59,1,0,0,5962.3,0,7095.137
"19",4670,15613962,"Kenechi",499,"Francia","Femenino",38,8903,0,2,0,1,183042.2,0,217820.218
"20",3703,15772559,"Burrows",790,"Francia","Femenino",47,7441,148636.21,1,0,1,16119.96,1,19182.7524
"21",20,15738318,"Kung",800,"Francia","Femenino",40,2965,97764.41,1,1,0,98640.15,1,117381.7785
"22",8602,15613749,"Lees",569,"España","Masculino",34,1988,151839.26,1,1,0,102299.81,1,121736.7739
"23",977,15689953,"Toscani",697,"España","Masculino",43,9856,128226.37,1,0,0,188486.94,0,224299.4586
"24",1484,15790810,"Han",844,"Francia","Femenino",41,7315,76319.64,1,1,1,141175.18,1,167998.4642
"25",1061,15796496,"Trevisani",631,"Francia","Femenino",31,6502,137687.72,1,1,0,190067.12,0,226179.8728
"26",4208,15612350,"Taylor",691,"Francia","Femenino",31,1145,40915.55,1,1,0,126213.84,1,150194.4696
"27",3045,15650034,"Kudryashova",564,"Francia","Femenino",28,3775,0,1,1,1,162428.05,0,193289.3795
"28",8562,15770539,"Walters",792,"Francia","Masculino",30,9140,127187.86,1,1,1,113553.42,0,135128.5698
"29",2044,15777436,"Murray",710,"España","Femenino",31,5538,0,2,1,0,9561.73,0,11378.4587
"30",254,15572706,"Smith",589,"Francia","Masculino",37,8919,0,1,1,0,61324.87,0,72976.5953
"31",675,15639590,"Melendez",758,"Francia","Femenino",30,5638,141581.08,1,1,0,156249.06,0,185936.3814
"32",9972,15686812,"Jones",692,"España","Femenino",44,5704,0,1,0,1,159069.37,0,189292.5503
"33",2810,15621267,"Ejimofor",637,"Francia","Masculino",32,5099,0,1,0,0,148769.08,0,177035.2052
"34",1226,15582129,"Hsia",517,"Francia","Masculino",62,8716,43772.66,3,1,0,187756.24,1,223429.9256
"35",9341,15598894,"Holt",784,"España","Masculino",38,6050,122267.85,1,0,0,145759.93,0,173454.3167
"36",4161,15729377,"Ku",798,"Francia","Masculino",36,8511,0,2,1,1,159044.1,0,189262.479
"37",2162,15616745,"Hs?",542,"España","Masculino",35,9946,174894.53,1,1,1,22314.55,0,26554.3145
"38",2747,15748552,"Sal",464,"Alemania","Masculino",37,8028,155994.15,1,0,0,143665.44,0,170961.8736
"39",5292,15677049,"O'Brien",595,"Alemania","Femenino",25,2499,106570.34,2,0,1,177025.79,0,210660.6901
"40",3841,15585961,"Talbot",496,"España","Femenino",43,2015,0,2,0,1,199505.53,0,237411.5807
"41",3200,15571415,"Okwudiliolisa",805,"Alemania","Masculino",56,8085,151802.29,1,1,0,46791.09,1,55681.3971
"42",9136,15633897,"Owen",725,"Alemania","Masculino",39,2003,50880.98,2,1,1,184023.54,0,218988.0126
"43",6411,15805676,"Hsu",515,"España","Masculino",29,7717,151012.55,2,1,0,9770.97,0,11627.4543
"44",7409,15724076,"Christie",815,"España","Femenino",57,6338,0,3,0,0,38941.44,1,46340.3136
"45",8985,15704586,"Osonduagwuike",758,"Francia","Femenino",42,2387,0,2,0,1,76209.56,0,90689.3764
"46",4153,15688157,"Padovano",683,"Alemania","Femenino",39,8908,47685.47,2,1,1,86019.48,0,102363.1812
"47",6943,15703167,"Rouse",628,"Francia","Femenino",45,7435,0,2,1,0,193903.06,0,230744.6414
"48",8084,15751032,"Enemuo",629,"Alemania","Femenino",37,9252,35549.81,2,0,0,49676.33,0,59114.8327
"49",8291,15614929,"Cheng",508,"Alemania","Masculino",28,3332,96213.82,2,1,0,147913.56,0,176017.1364
"50",6625,15580134,"Crawford",479,"España","Masculino",27,5040,172463.45,1,1,1,40315.27,0,47975.1713
"51",7331,15740175,"Raynor",732,"Alemania","Femenino",42,5285,118889.66,2,0,0,87422.15,0,104032.3585
"52",1247,15614220,"Benson",750,"Francia","Masculino",22,2137,0,2,0,1,105125.65,0,125099.5235
"53",4393,15577423,"Mosley",627,"Alemania","Femenino",39,7429,124586.93,1,1,0,93132.61,1,110827.8059
"54",7052,15627042,"Reilly",555,"Francia","Femenino",26,8980,0,2,1,0,93122.41,0,110815.6679
"55",3736,15809462,"Polyakova",656,"Francia","Masculino",30,7848,0,2,0,1,17104,0,20353.76
